province,name,"number,",con,ndp,lib,grn,bq,oth,projected_winner,strategic_vote,confidence,turnout_2011
QC,Dorval--Lachine--LaSalle,24024,0.1308785691024167,0.21949848158809152,0.525816915700527,0.03854386409251498,0.08299637801031663,0.0022657915061332617,LIB,LIB,0.88976394979348017,0.5663232293066547
QC,Gatineau,24027,0.09551268258193636,0.42717914694597453,0.32106487943030965,0.016380137978594143,0.13986315306318528,0,NDP,NDP,0.66438374625833985,0.6269081405856923
QC,Gaspésie--Les Îles-de-la-Madeleine,24026,0.17880301532256188,0.19523333614984084,0.3316773241338439,0.03185246008312398,0.26243386431062954,0,LIB,LIB,0.60909990309101025,0.5281710142761044
QC,Châteauguay--Lacolle,24021,0.13891651716760195,0.35251078630033855,0.2078423721999922,0.02558036317283511,0.27514996115923224,0,NDP,NDP,0.62150783176999924,0.6360859268808766
QC,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,24020,0.2646685487221879,0.2733848621242422,0.13240188867603292,0.0260414890839831,0.3035032113935539,0,BQ,BQ,0.54794592390249164,0.6293326573631828
QC,Compton--Stanstead,24023,0.13720251895352215,0.31908318477808517,0.2672593470377371,0.03556429238247994,0.24089065684817568,0,NDP,NDP,0.58211039765384076,0.6343048670141588
QC,Chicoutimi--Le Fjord,24022,0.3092975764979176,0.2604147141650014,0.1329215386104176,0.022321261214142973,0.2675018626194654,0.007543046893055211,CON,BQ,0.56638691305957911,0.6404232238122836
YT,Yukon,60001,0.27138453350682706,0.20298253234727015,0.479500474971433,0.0461324591744699,0,0.0,LIB,LIB,0.79742638882858463,0.6596688714514605
MB,Dauphin--Swan River--Neepawa,46004,0.5308675725615764,0.21205852833680627,0.1968423238129504,0.06023157528866697,0,0,CON,NDP,0.89888716994130025,0.5529341855908522
QC,Honoré-Mercier,24029,0.11152061145849015,0.19037523933311223,0.5504404864567758,0.01822012990776592,0.1294435328438559,0,LIB,LIB,0.92510321295190867,0.5823631377419021
NS,Sydney--Victoria,12010,0.1861127796310223,0.11894643575394835,0.6492301133663884,0.045710671248641054,0,0,LIB,LIB,0.96802077148757948,0.6102043841301734
AB,Edmonton Mill Woods,48017,0.37990748972347765,0.1452747865511963,0.4133113279030117,0.060574807441534186,0,0.0009315883807800843,LIB,LIB,0.55314662832966888,0.5258770303344953
ON,Hamilton West--Ancaster--Dundas,35038,0.26312044318357125,0.14881646591065398,0.5339050566273541,0.0527131516164307,0,0.0014448826619899641,LIB,LIB,0.86062651353661712,0.6572614517962149
ON,Hastings--Lennox and Addington,35039,0.4429324140696572,0.17209383313641088,0.33823996407254375,0.040853671046645064,0,0.005880117674742948,CON,LIB,0.6623078110160785,0.6167458908424489
